Date: 2021-08-30, Strokes: 662
Date: 2023-02-13, Strokes: 627
Date: 2023-02-27, Strokes: 1107
Date: 2023-03-06, Strokes: 399
Date: 2023-03-08, Strokes: 726
Date: 2023-03-20, Strokes: 447
Date: 2023-03-22, Strokes: 410
Date: 2023-03-24, Strokes: 638
Date: 2023-03-27, Strokes: 515
Date: 2023-03-31, Strokes: 840
Date: 2023-04-03, Strokes: 769
Date: 2023-04-07, Strokes: 649
Date: 2023-04-24, Strokes: 724
Date: 2023-04-26, Strokes: 359
Date: 2023-05-10, Strokes: 531
Date: 2023-05-11, Strokes: 779
Date: 2023-05-12, Strokes: 511
Date: 2023-05-16, Strokes: 1269
Date: 2023-05-18, Strokes: 774
Date: 2023-05-19, Strokes: 283
Date: 2023-05-24, Strokes: 816
Date: 2023-05-29, Strokes: 837
Date: 2023-06-01, Strokes: 577
Date: 2023-06-04, Strokes: 442
Date: 2023-06-08, Strokes: 1345
Date: 2023-06-12, Strokes: 499
Date: 2023-06-13, Strokes: 482
Date: 2023-06-17, Strokes: 473
Date: 2023-06-20, Strokes: 711
Date: 2023-06-27, Strokes: 574
Date: 2023-06-29, Strokes: 1190
Date: 2023-07-05, Strokes: 383
Date: 2023-07-06, Strokes: 546
Date: 2023-07-11, Strokes: 1089
Date: 2023-07-12, Strokes: 1087
Date: 2023-07-13, Strokes: 898
Date: 2023-07-17, Strokes: 926
Date: 2023-07-19, Strokes: 1005
Date: 2023-07-21, Strokes: 1193
Date: 2023-07-24, Strokes: 1156
Date: 2023-07-25, Strokes: 697
Date: 2023-07-26, Strokes: 1186
Date: 2023-07-27, Strokes: 1792
Date: 2023-07-28, Strokes: 723
Date: 2023-07-30, Strokes: 3541
Date: 2023-08-08, Strokes: 1094
Date: 2023-08-09, Strokes: 293
Date: 2023-08-16, Strokes: 1350
Date: 2023-08-19, Strokes: 186
Date: 2023-08-22, Strokes: 378
Date: 2023-08-23, Strokes: 423
Date: 2023-08-28, Strokes: 485
Date: 2023-08-29, Strokes: 763
Date: 2023-08-31, Strokes: 823
Date: 2023-09-01, Strokes: 491
Date: 2023-09-04, Strokes: 731
Date: 2023-09-05, Strokes: 628
Date: 2023-09-06, Strokes: 693
Date: 2023-09-07, Strokes: 386
Date: 2023-09-08, Strokes: 473
Date: 2023-09-09, Strokes: 795
Date: 2023-09-11, Strokes: 1103
Date: 2023-09-12, Strokes: 1360
Date: 2023-09-13, Strokes: 1438
Date: 2023-09-14, Strokes: 913
Date: 2023-09-15, Strokes: 813
Date: 2023-09-16, Strokes: 1650
Date: 2023-09-18, Strokes: 1333
Date: 2023-09-19, Strokes: 996
Date: 2023-09-20, Strokes: 1301
Date: 2023-09-21, Strokes: 1112
Date: 2023-09-22, Strokes: 1152
Date: 2023-09-23, Strokes: 1304
Date: 2023-09-25, Strokes: 1574
Date: 2023-09-26, Strokes: 1305
Date: 2023-09-27, Strokes: 909
Date: 2023-09-28, Strokes: 1460
Date: 2023-09-29, Strokes: 375
Date: 2023-09-30, Strokes: 672
Date: 2023-10-02, Strokes: 1687
Date: 2023-10-03, Strokes: 1182
Date: 2023-10-04, Strokes: 1618
Date: 2023-10-05, Strokes: 1409
Date: 2023-10-06, Strokes: 1035
Date: 2023-10-07, Strokes: 1313
Date: 2023-10-09, Strokes: 1550
Date: 2023-10-10, Strokes: 1535
Date: 2023-10-11, Strokes: 2016
Date: 2023-10-13, Strokes: 958
Date: 2023-10-14, Strokes: 793
Date: 2023-10-16, Strokes: 1101
Date: 2023-10-17, Strokes: 1355
Date: 2023-10-18, Strokes: 1714
Date: 2023-10-19, Strokes: 1523
Date: 2023-10-20, Strokes: 1136
Date: 2023-10-21, Strokes: 1545
Date: 2023-10-23, Strokes: 2298
Date: 2023-10-24, Strokes: 1455
Date: 2023-10-25, Strokes: 1731
Date: 2023-10-26, Strokes: 1933
Date: 2023-10-27, Strokes: 488
Date: 2023-10-28, Strokes: 2110
Date: 2023-10-30, Strokes: 1164
Date: 2023-10-31, Strokes: 1650
Date: 2023-11-01, Strokes: 1385
Date: 2023-11-02, Strokes: 2069
Date: 2023-11-03, Strokes: 1268
Date: 2023-11-04, Strokes: 1526
Date: 2023-11-06, Strokes: 1632
Date: 2023-11-07, Strokes: 990
Date: 2023-11-08, Strokes: 1364
Date: 2023-11-09, Strokes: 1367
Date: 2023-11-10, Strokes: 1031
Date: 2023-11-11, Strokes: 1760
Date: 2023-11-13, Strokes: 1485
Date: 2023-11-14, Strokes: 1249
Date: 2023-11-15, Strokes: 1290
Date: 2023-11-16, Strokes: 806
Date: 2023-11-17, Strokes: 1329
Date: 2023-11-18, Strokes: 970
Date: 2023-11-19, Strokes: 461
Date: 2023-11-20, Strokes: 835
Date: 2023-11-27, Strokes: 988
Date: 2023-11-28, Strokes: 1199
Date: 2023-11-29, Strokes: 1366
Date: 2023-11-30, Strokes: 1402
Date: 2023-12-01, Strokes: 957
Date: 2023-12-02, Strokes: 1896
